,country,flights,gisaidNumber,Source_report
1,Afghanistan,38,,
2,Albania,2,,
3,Algeria,2,,
4,Angola,180,,
5,Australia,41,9999,
6,Austria,270,9999,
7,Azerbaijan,15,,
8,Bahrain,46,,
9,Bangladesh,264,,
10,Belarus,6,,
11,Belgium,613,,
12,Benin,11,,
13,Bermuda,48,,
14,Bosnia-Herzegovina,8,,
15,Botswana,541,9999,
16,Brazil,177,,
17,Brunei Darussalam,3,,
18,Bulgaria,55,,
19,Burkina Faso,31,,
20,Cameroon,51,,
21,Canada,648,9999,
22,Cayman Islands,12,,
23,Chad,11,,
24,Chile,2,,
25,China,1258,9999,
26,Colombia,5,,
28,Congo,153,,
29,Cote D'Ivoire,79,,
30,Croatia,55,,
31,Curacao,5,,
32,Cyprus,106,,
33,Czech Republic,52,,
34,Denmark,189,,
35,Djibouti,15,,
36,Dominican Republic,11,,
37,Ecuador,6,,
38,Egypt,593,,
39,Equatorial Guinea,15,,
40,Estonia,7,,
41,Ethiopia,4703,,
42,Fiji,3,,
43,Finland,21,9999,
44,France,878,9999,
45,Gabon,30,,
46,Germany,2032,,
47,Ghana,243,,
48,Gibraltar,3,,
49,Greece,280,,
50,Guatemala,7,,
51,Guinea,24,,
52,Guinea-Bissau,7,,
53,Hong Kong,75,,
54,Hungary,61,,
55,Iceland,14,,
56,India,421,,
57,Indonesia,225,,
58,Iran,13,,
59,Iraq,126,,
60,Ireland,341,9999,
61,Isle of Man,12,,
62,Israel,556,,
63,Italy,438,,
64,Japan,132,9999,
65,Jersey,50,,
66,Jordan,53,,
67,Kazakhstan,16,,
68,Kenya,2074,,
69,South Korea,169,,
70,Kuwait,81,,
71,Kyrgyzstan,8,,
72,Latvia,7,,
73,Lebanon,42,,
74,Lesotho,9,,
75,Liberia,12,,
76,Luxembourg,36,,
77,Madagascar,13,,
78,Malawi,468,,
79,Malaysia,327,,
80,Maldives,48,,
81,Mali,45,,
82,Malta,23,,
83,Mauritius,1,,
84,Mexico,48,,
85,Montenegro,5,,
86,Morocco,86,,
87,Mozambique,1550,,
88,Namibia,578,,
89,Nepal,24,,
90,Netherlands,1171,,
91,New Zealand,155,,
92,Niger,19,,
93,Nigeria,208,,
94,Norway,100,9999,
95,Oman,50,,
96,Pakistan,661,,
97,Panama,25,,
98,Peru,4,,
99,Philippines,959,,
100,Poland,104,,
101,Portugal,359,,
102,Qatar,856,,
103,Romania,75,,
104,Russia,187,,
105,Rwanda,45,,
106,Saudi Arabia,335,,
107,Senegal,20,,
108,Serbia,40,,
109,Seychelles,11,,
110,Sierra Leone,19,,
111,Singapore,182,,
112,Somalia,36,,
113,South Sudan,18,,
114,Spain,204,,
115,Sri Lanka,5,,
116,St Maarten,12,,
117,Sudan,87,,
118,Suriname,4,,
119,Swaziland,278,,
120,Sweden,77,9999,
121,Switzerland,446,9999,
122,Taiwan,87,,
123,Tajikistan,2,,
124,Tanzania,652,,
125,Thailand,94,,
126,Togo,4,,
127,Tunisia,14,,
128,Turkey,860,,
129,Uganda,173,,
130,Ukraine,224,,
131,United Arab Emirates,4549,,
132,United Kingdom,3404,9999,
133,United States of America,2475,,
134,Uruguay,12,,
135,Uzbekistan,11,,
136,Viet Nam,32,,
137,Zambia,2576,9999,
138,Zimbabwe,3222,,
