,country,Group.2,flights
23,Belgium,October-2020,8
24,China,October-2020,15
25,Dominican Republic,October-2020,2
26,Egypt,October-2020,4
27,France,October-2020,13
28,Germany,October-2020,15
29,Greece,October-2020,2
30,Japan,October-2020,11
31,South Korea,October-2020,14
32,Mexico,October-2020,30
33,Netherlands,October-2020,1
34,Philippines,October-2020,40
35,Portugal,October-2020,59
36,Qatar,October-2020,3
37,Switzerland,October-2020,14
38,Turkey,October-2020,1
39,United Arab Emirates,October-2020,7
40,United Kingdom,October-2020,100
41,United States of America,October-2020,94
42,Uruguay,October-2020,3
